"","program_name","city","country","region","equality_cont","legal_cont","po_cont","equality_index","legal_index","public_opinion_index","duration","detected_subject"
"1","Arts and Sciences in Legon, Ghana","Legon","Ghana","Africa","25","29","20",7,5,"9","Semester","science"
"2","Augsburg CGEE: Decolonizing the Mind: Racial and Environmental Justice","Cape Town","South Africa","Africa","25","29","20",71,84,"58","Semester","environment"
"3","Augsburg CGEE: Decolonizing the Mind: Racial and Environmental Justice","Windhoek","Namibia","Africa","25","29","20",44,55,"34","Semester","environment"
"4","Augsburg CGEE: Social Work in a Latin American Context","Cuernavaca","Mexico","North America","45","57","34",75,93,"57","Semester","social work"
"5","Augsburg CGEE: Student Teaching in Mexico","Cuernavaca","Mexico","North America","45","57","34",75,93,"57","Semester","teaching"
"6","Augsburg CGEE:Conflict, Peace, and Transition in Northern Ireland","Derry","United Kingdom","Europe","60","71","49",72,80,"63","J-term",NA
"7","Augsburg CGEE:Conflict, Peace, and Transition in Northern Ireland","Londonderry","United Kingdom","Europe","60","71","49",72,80,"63","J-term",NA
"8","Barcelona SAE: Academic Study Center (SIS) Semester Program","Barcelona","Spain","Europe","60","71","49",82,93,"70","Semester",NA
"9","Barcelona SAE: Academic Study Center (SIS) Semester Program with Internship","Barcelona","Spain","Europe","60","71","49",82,93,"70","Semester",NA
"10","Budapest Semesters in Mathematics","Budapest","Hungary","Europe","60","71","49",53,64,"43","Semester","math"
"11","Budapest Semesters in Mathematics Education","Budapest","Hungary","Europe","60","71","49",53,64,"43","Semester","math"
"12","CEA CAPA: Study and Intern in Sydney","Sydney","Australia","Oceania","44","48","45",77,90,"64","Semester",NA
"13","CEA CAPA: University of Technology Sydney","Sydney","Australia","Oceania","44","48","45",77,90,"64","Semester",NA
"14","CET Colombia: Study Abroad","Cali","Colombia","South America","60","73","48",73,95,"52","Semester",NA
"15","CIEE Arts and Sciences Program in Cape Town, South Africa","Cape Town","South Africa","Africa","25","29","20",71,84,"58","Semester","science"
"16","CIEE Liberal Arts Program in Rennes, France","Rennes","France","Europe","60","71","49",77,90,"65","Semester","art"
"17","CMRS Oxford Humanities Program, Oxford, England","Oxford","United Kingdom","Europe","60","71","49",72,80,"63","Semester",NA
"18","Carleton Global Engagement: Ecology and Anthropology in Tanzania","Arusha","Tanzania","Africa","25","29","20",13,8,"18","Semester",NA
"19","Chicago Semester: Student Teaching and Seminar","Chicago, Illinois","United States","North America","45","57","34",74,86,"62","Semester","teaching"
"20","Classical Studies in Greece","Archaia Olympia","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"21","Classical Studies in Greece","Athens","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"22","Classical Studies in Greece","Delphi","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"23","Classical Studies in Greece","Heraklion","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"24","Classical Studies in Greece","Kalabaka","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"25","Classical Studies in Greece","Nafplion","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"26","Classical Studies in Greece","Pilos","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"27","Classical Studies in Greece","Piraeus","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"28","Classical Studies in Greece","Sparti","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
"29","Classical Studies in Greece","Thessaloniki","Greece","Europe","60","71","49",69,93,"45","J-term","classic"
